Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Nick Bowers (MIA),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feleipe Franks (ATL),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hudson (NO),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Okwuegbunam (PHI),TE,0,1,0,0,0,0,0,0,0,0,0,4,0,0
Dalton Keene (HOU),TE,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Noah Togiai (PHI),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lawrence Cager (NYG),TE,4,5,36,9,10,0,1,0,0,0,0,9,0,0
Tyler Mabry (SEA),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean McKeon (DAL),TE,0,2,0,0,0,0,0,0,0,0,0,9,0,0
Tyler Davis (GB),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Gilliam (BUF),TE,1,1,3,3,3,0,0,0,0,0,0,15,0,0
Rashod Berry (IND),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Washington (BAL),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Pierce Jr. (CAR),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leroy Watson IV (CLE),TE,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Jake Tonges (SF),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Williams (PIT),TE,0,2,0,0,0,0,0,0,0,0,0,12,0,0
Zaire Mitchell-Paden (CLE),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John FitzPatrick (ATL),TE,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Jelani Woods (IND),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Kalinic (LAR),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Conner (MIA),TE,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Gerrit Prince (KC),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
