Player,POS,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Stetson Bennett (LAR),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Duggan (FA),QB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Erik Ainge (NYJ),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Cantwell (BAL),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chappell (WAS),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Froman (ATL),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Ratliff (TEN),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson (BAL),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Woodside (ATL),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trace McSorley (PIT),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Stidham (DEN),QB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
David Blough (DET),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Grier (LAC),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex McGough (GB),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wolford (TB),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Sudfeld (DET),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ McCarron (CIN),QB,1,1,100,-1,-1,0,0,0,0,0,0,0,1,0,0
Matt Barkley (JAC),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Smith (TB),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson Wentz (LAR),QB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jeff Driskel (ARI),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen (SF),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion (SEA),QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Trask (TB),QB,0,1,0,0,0,0,0,0,1,-1,0,0,2,-0.1,-0.1
Teddy Bridgewater (DET),QB,0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2
Nathan Peterman (CHI),QB,0,0,0,0,0,0,0,1,2,-4,0,0,1,-0.4,-0.4
Blaine Gabbert (KC),QB,3,5,60,31,6.2,0,2,0,2,-1,0,0,1,-0.9,-0.9
Kyle Allen (BUF),QB,0,0,0,0,0,0,0,0,11,-11,0,0,6,-1.1,-0.2
