Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Jalen Camp (CAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Nixon (NE),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eron Riley (NYJ),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demario Ballard (DET),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Edwards (DET),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Matthews (CAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Furrey (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Purify (CIN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Slater (NE),WR,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Marko Mitchell (MIN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny McKinley (DEN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Long (SF),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Wade (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Henry (CIN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onrea Jones (CHI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taj Smith (IND),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Giguere (NYG),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rod Harper (PHI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Hughes (JAC),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Patrick (DEN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Hardee (NYJ),WR,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Keelan Cole Sr. (LV),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaydon Mickens (IND),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Gage (TB),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daurice Fountain (DET),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Sims (CAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Ward (PHI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith (DEN),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Phillip Dorsett II (DEN),WR,0,3,0,0,0,0,0,0,0,0,0,2,0,0
Ty Montgomery II (FA),WR,5,12,40,8,17,0,0,3,9,0,0,13,0,0
Damiere Byrd (FA),WR,0,2,0,0,0,0,0,0,0,0,0,1,0,0
Chris Conley (SF),WR,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Jakeem Grant Sr. (CLE),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laquon Treadwell (BAL),WR,0,0,0,0,0,0,0,0,0,0,0,3,0,0
James Proche II (CLE),WR,0,1,0,0,0,0,0,0,0,0,1,9,-2,-0.2
Trent Taylor (CHI),WR,0,2,0,0,0,0,0,1,-2,0,1,15,-2.2,-0.1
