Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Dontayvion Wicks (GB),WR,33,51,520,15.8,35,14,2,1,1,0,1,14,79.2,5.7
Justin Watson (KC),WR,27,52,460,17,41,14,3,0,0,0,1,15,75.5,5
Demarcus Robinson (LAR),WR,26,39,371,14.3,37,10,4,1,23,0,1,12,74.4,6.2
Trey Palmer (TB),WR,37,62,375,10.1,54,9,3,3,22,0,1,16,74.2,4.6
Kalif Raymond (DET),WR,33,42,439,13.3,41,11,1,7,75,0,0,16,73.9,4.6
Nelson Agholor (BAL),WR,30,40,342,11.4,37,6,4,0,0,0,0,16,73.2,4.6
Quentin Johnston (LAC),WR,36,62,414,11.5,57,8,2,2,3,0,0,16,71.7,4.5
Nick Westbrook-Ikhine (TEN),WR,28,45,370,13.2,33,10,3,0,0,0,0,14,71,5.1
Michael Gallup (DAL),WR,34,55,418,12.3,41,9,2,0,0,0,0,16,70.8,4.4
Michael Thomas (NO),WR,39,64,448,11.5,31,5,1,0,0,0,0,10,70.3,7
Robert Woods (HOU),WR,40,75,426,10.7,26,2,1,1,7,0,0,14,69.3,5
Jameson Williams (DET),WR,24,42,354,14.8,63,12,2,3,29,1,0,12,68.3,5.7
Darnell Mooney (CHI),WR,31,61,414,13.4,41,11,1,2,5,0,0,15,63.4,4.2
Jonathan Mingo (CAR),WR,43,85,418,9.7,40,9,0,0,0,0,0,15,63.3,4.2
Rashod Bateman (BAL),WR,32,56,367,11.5,29,2,1,1,18,0,0,15,60.5,4
Marvin Mims Jr. (DEN),WR,21,32,361,17.2,60,18,1,8,29,0,2,15,57.5,3.8
Cedrick Wilson Jr. (MIA),WR,21,35,272,13,31,5,3,0,0,0,0,14,55.7,4
DeVante Parker (NE),WR,32,51,388,12.1,30,7,0,0,0,0,0,12,54.8,4.6
Zay Jones (JAC),WR,28,55,274,9.8,36,4,2,0,0,0,0,8,53.4,6.7
KaVontae Turpin (DAL),WR,12,18,127,10.6,34,3,3,10,105,1,0,15,53.2,3.5
Brandon Johnson (DEN),WR,15,25,196,13.1,50,6,4,0,0,0,0,12,53.1,4.4
Chris Moore (TEN),WR,19,31,394,20.7,49,17,0,2,39,0,0,16,52.8,3.3
Brandon Powell (MIN),WR,28,41,322,11.5,28,6,1,5,17,0,1,16,51.9,3.2
Tre Tucker (LV),WR,14,29,252,18,50,11,2,9,66,0,0,15,50.8,3.4
Greg Dortch (ARI),WR,22,37,266,12.1,38,6,2,1,5,0,0,15,50.1,3.3
Allen Lazard (NYJ),WR,23,49,311,13.5,39,6,1,0,0,0,0,14,48.6,3.5
Jalin Hyatt (NYG),WR,22,38,368,16.7,58,16,0,0,0,0,0,16,47.8,3
Xavier Gipson (NYJ),WR,20,33,225,11.3,36,5,0,8,68,1,2,16,47.3,3
JuJu Smith-Schuster (NE),WR,29,47,260,9,37,4,1,0,0,0,0,11,46.5,4.2
Jake Bobo (SEA),WR,18,24,187,10.4,31,4,2,1,3,1,0,16,46,2.9
Marquez Valdes-Scantling (KC),WR,21,42,315,15,46,9,1,0,0,0,1,16,46,2.9
Trenton Irwin (CIN),WR,23,30,282,12.3,32,7,1,0,0,0,0,15,45.7,3
Allen Robinson II (PIT),WR,34,48,280,8.2,31,3,0,0,0,0,0,16,45,2.8
Isaiah Hodgins (NYG),WR,18,30,194,10.8,24,1,3,0,0,0,1,16,44.4,2.8
Calvin Austin III (PIT),WR,17,30,180,10.6,72,4,1,10,49,1,0,16,43.4,2.7
Skyy Moore (KC),WR,21,38,244,11.6,54,6,1,3,23,0,0,14,43.2,3.1
Braxton Berrios (MIA),WR,25,31,229,9.2,22,1,1,1,11,0,0,15,42.5,2.8
Jauan Jennings (SF),WR,19,33,265,13.9,31,5,1,0,0,0,0,13,42,3.2
Lil'Jordan Humphrey (DEN),WR,13,18,162,12.5,54,4,3,0,0,0,0,16,40.7,2.5
Mike Williams (LAC),WR,19,26,249,13.1,49,7,1,1,3,0,0,3,40.7,13.6
Jalen Tolbert (DAL),WR,20,33,260,13,45,7,1,0,0,0,1,16,40,2.5
Kadarius Toney (KC),WR,27,38,169,6.3,18,0,1,11,31,0,0,13,39.5,3
Hunter Renfrow (LV),WR,25,37,255,10.2,38,5,0,0,0,0,1,16,36,2.3
A.T. Perry (NO),WR,9,15,193,21.4,44,8,2,0,0,0,0,9,35.8,4
Mack Hollins (ATL),WR,18,30,251,13.9,45,5,0,0,0,0,0,12,34.1,2.8
Alex Erickson (LAC),WR,14,24,203,14.5,27,3,1,0,0,0,0,7,33.3,4.8
Jamal Agnew (JAC),WR,14,21,225,16.1,65,7,1,4,-2,0,1,11,33.3,3
Treylon Burks (TEN),WR,16,30,221,13.8,70,8,0,5,18,0,0,10,31.9,3.2
Olamide Zaccheaus (PHI),WR,8,16,144,18,34,5,2,0,0,0,0,16,30.4,1.9
KhaDarel Hodge (ATL),WR,14,22,232,16.6,52,7,0,1,0,0,0,16,30.2,1.9
Parker Washington (JAC),WR,15,20,121,8.1,19,0,2,0,0,0,1,8,29.6,3.7
Van Jefferson (ATL),WR,18,40,196,10.9,46,3,0,1,4,0,0,16,29,1.8
Dyami Brown (WAS),WR,12,23,168,14,35,4,1,1,0,0,0,16,28.8,1.8
Julio Jones (PHI),WR,9,15,61,6.8,22,1,3,0,0,0,0,10,28.6,2.9
Cedric Tillman (CLE),WR,18,38,181,10.1,23,1,0,1,8,0,0,13,27.9,2.1
Bo Melton (GB),WR,11,17,156,14.2,37,3,1,1,7,0,0,3,27.8,9.3
Ihmir Smith-Marsette (CAR),WR,7,8,45,6.4,18,0,0,8,74,1,0,16,27.4,1.7
Jamison Crowder (WAS),WR,15,19,151,10.1,26,1,1,0,0,0,1,16,26.6,1.7
Scott Miller (ATL),WR,9,14,95,10.6,46,3,2,0,0,0,0,16,26,1.6
Deven Thompkins (TB),WR,16,24,82,5.1,26,1,1,8,56,0,1,16,25.8,1.6
Tyler Scott (CHI),WR,16,30,156,9.8,30,2,0,7,41,0,1,16,25.7,1.6
Andrei Iosivas (CIN),WR,10,18,80,8,16,0,2,0,0,0,0,15,25,1.7
Deonte Harty (BUF),WR,14,20,138,9.9,43,4,1,4,0,0,1,15,24.8,1.7
Derius Davis (LAC),WR,14,16,48,3.4,11,0,0,11,84,0,1,16,24.2,1.5
Malik Heath (GB),WR,12,20,116,9.7,16,0,1,0,0,0,0,12,23.6,2
John Metchie III (HOU),WR,15,28,153,10.2,22,1,0,1,4,0,0,15,23.2,1.5
Terrace Marshall Jr. (CAR),WR,18,32,134,7.4,14,0,0,0,0,0,0,8,22.4,2.8
Byron Pringle (WAS),WR,14,22,161,11.5,26,1,0,0,0,0,1,15,21.1,1.4
Kyle Philips (TEN),WR,13,19,166,12.8,29,4,0,0,0,0,1,8,21.1,2.6
David Bell (CLE),WR,10,19,99,9.9,41,3,1,0,0,0,0,14,20.9,1.5
Ronnie Bell (SF),WR,5,8,63,12.6,20,1,2,0,0,0,0,15,20.8,1.4
Tyquan Thornton (NE),WR,13,23,91,7,15,0,0,3,51,0,0,9,20.7,2.3
Robbie Chosen (MIA),WR,4,6,126,31.5,68,6,1,0,0,0,0,8,20.6,2.6
Parris Campbell (NYG),WR,20,27,104,5.2,17,0,0,0,0,0,0,12,20.4,1.7
River Cracraft (MIA),WR,8,11,103,12.9,24,2,1,0,0,0,0,9,20.3,2.3
Jalen Guyton (LAC),WR,10,21,89,8.9,18,0,1,0,0,0,0,8,19.9,2.5
Jalen Reagor (NE),WR,6,18,105,17.5,39,3,0,0,0,0,0,10,19.5,2
Donovan Peoples-Jones (DET),WR,11,23,130,11.8,29,1,0,0,0,0,0,14,18.5,1.3
Ray-Ray McCloud III (SF),WR,9,11,113,12.6,41,4,0,2,23,0,0,11,18.1,1.6
Chase Claypool (MIA),WR,7,19,74,10.6,20,1,1,0,0,0,0,10,16.9,1.7
Xavier Hutchinson (HOU),WR,7,15,84,12,34,2,0,5,49,0,0,14,16.8,1.2
David Moore (TB),WR,4,6,86,21.5,52,4,1,0,0,0,0,6,16.6,2.8
